System,Format,Type,Magnitude,Period,Time,Duration,Depth,Ratio
1000.01,20sec,PC,9.604,2.171317131713171,2229.6343682845027,0.1,0.0004864272398559,1.1807537517124351
1001.01,20sec,PC,9.42344,1.9314431443144315,2230.749926380566,0.15,0.0011173799499794,1.0232489501358513
1002.01,20sec,PC,9.299501,1.8670867086708671,2202.2867635045363,0.1,0.0012490900192355,1.0227607083010295
1004.01,20sec,PC,9.1355,3.575457545754575,2229.567850862348,0.15,0.0003468157575932,1.189180297109172
1006.01,20sec,PC,9.2386,2.504800480048005,2229.984672336604,0.15,0.0018268203196732,1.0220122693279836
1007.01,20sec,PC,8.87759,6.998049804980497,2233.9361501216235,0.15,0.0022648451213731,0.9890815180871648
1009.01,20sec,PC,8.4331,0.8919891989198919,2229.528612938197,0.33,0.0006609347751592,1.107960853620608
1011.01,20sec,PC,8.2388,2.4696969696969697,2231.134281029967,0.1,0.0001899884236701,1.052049233664688
1012.01,20sec,PC,8.12718,0.8841884188418843,2229.523629025417,0.05,0.0013419469829977,1.0080298028814365
1015.01,20sec,PC,10.7069,1.3717371737173718,2230.413942947476,0.1,0.0009854328113058,1.030340619844763
1022.01,20sec,PC,8.72924,3.7353735373537353,2992.434764016654,0.33,0.0009041100101768,1.0149595595546086
1026.01,20sec,PC,9.9138,14.264476447644766,2237.4625472720268,0.2,0.0009958716840318,0.9912883314195104
1031.01,20sec,PC,9.7318,5.652815911654172,2282.2291819133325,0.1,0.0011264807614645,1.0972340910142508
1032.01,20sec,PC,9.7611,5.664116411641165,2283.831508294809,0.15,0.0029974781158982,1.082025694697415
1034.01,20sec,PC,9.8174,4.735461980041388,2256.1360214402,0.33,0.0006555444280034,0.5550294621364118
1036.01,20sec,PC,10.2855,3.7802280228022807,2285.0517506039228,0.15,0.0020655763424753,1.0589493500824994
1037.01,20sec,PC,9.0211,1.205970597059706,2282.9946165582023,0.15,0.0004230024598228,1.0914740962825815
1039.01,20sec,PC,8.5483,4.421842184218422,2284.2100484987163,0.15,0.0051580991889208,1.0264005533144815
1044.01,20sec,PC,10.0031,1.007050705070507,2281.83805882531,0.05,0.002688018501067,1.111281360875903
1056.01,20sec,PC,9.6663,5.307230723072308,2037.341076865722,0.1,0.0004482119253624,0.8483598817006799
1060.01,20sec,PC,9.6652,2.068603394992965,2036.648285249164,0.05,0.0004798368975901,1.1821268076199272
1072.01,20sec,PC,11.7106,12.83888388838884,2044.838955889952,0.33,0.0101925336390864,0.985718405302589
1075.01,20sec,PC,11.1186,0.6051433001085887,2036.4422563629607,0.05,0.0006846606304996,1.0287113967551944
1077.01,20sec,PC,13.461,1.6077107710771077,2036.390360554612,0.05,0.0154887854495892,1.0339295573856977
1083.01,20sec,PC,12.0936,16.1626574448624,2370.6683495324955,0.33,0.0014500778076365,1.5219724029220525
1086.01,20sec,PC,12.2303,3.717821782178218,2038.2305510522208,0.2,0.0045844203245847,1.0358378086709534
1091.01,20sec,PC,9.3529,1.7247224722472247,2335.408779020487,0.15,0.0031780711054254,1.0603250419272756
1095.01,20sec,PC,10.4291,1.482898289828983,2308.859034970781,0.1,0.0015144745295858,1.0074177879965336
1101.01,20sec,PC,10.5891,2.6686168616861687,2037.4463276662348,0.05,0.0033497497618948,0.9891768432971968
1107.01,20sec,PC,10.0068,4.078607860786079,2336.073295646837,0.2,0.0052665704537774,0.9506931938371568
1117.01,20sec,PC,10.4055,2.2259301087624515,2362.464920961568,0.1,0.0006522213468485,0.7707175012943107
1125.01,20sec,PC,8.0465,0.773027302730273,2036.4884050852336,0.05,0.0002117663680442,0.995217195751228
1131.01,20sec,PC,9.2872,0.5857112939016674,2825.6561569589985,0.05,0.0002738139827002,1.04633576380848
1187.01,20sec,PC,9.9002,2.9143414341434144,2939.778614741506,0.33,0.0013135593564091,0.8747765571520043
1204.01,20sec,PC,8.004,0.6891689168916891,2308.227560759272,0.1,9.292005570292312e-05,0.8960095459868411
1214.01,20sec,PC,10.0329,17.321410988983686,2037.350935106319,0.15,0.0005634673242123,0.7648398724934602
1226.01,20sec,PC,11.5514,3.95964596459646,2039.4734454515371,0.2,0.000629063082808,0.753837851309713
1246.01,20sec,PC,11.1802,18.64266426642664,2397.8774936717896,0.15,0.0015512014083182,1.0587988180492296
1247.01,20sec,PC,8.4724,14.732523252325237,2404.1919843123505,0.15,0.0004132724415123,1.256835922899076
1248.01,20sec,PC,11.1153,4.35943594359436,2829.4866319615094,0.1,0.0044017314146567,1.024037211505513
1252.01,20sec,PC,12.0623,1.913891389138914,2854.4741523362063,0.33,0.0191214499272236,1.047429913643499
1254.01,20sec,PC,10.794,2.030903090309031,2825.4207770455223,0.33,0.0009388201713,1.1521637523528876
1255.01,20sec,PC,9.1416,14.593129474963698,2831.5523400806305,0.33,0.001067921133877,0.7678487356532958
1259.01,20sec,PC,11.1534,3.477947794779478,2883.125120582186,0.1,0.0212334473221766,1.0073278056355908
1269.01,20sec,PC,10.9897,4.256075607560756,2392.5880316990947,0.1,0.00068986445187,0.8525304552115386
1288.01,20sec,PC,9.93119,2.6998199819982,2827.388349409782,0.1,0.002155696029825,1.0312901112374258
