System,Format,Type,Magnitude,Period,Time,Duration,Depth,Ratio
1000.01,20sec,PC,9.604,2.171317131713171,2229.6343682845027,0.1,0.0004864272398559,1.1807537517124351
50365310.0,120sec, ,,2.17117008730576,2229.638697532608,0.1,0.000574350788395,
1001.01,20sec,PC,9.42344,1.9314431443144315,2230.749926380566,0.15,0.0011173799499794,1.0232489501358513
88863718.0,120sec, ,,1.9312504607796517,2230.753747596885,0.15,0.0011433578607193,
1002.01,20sec,PC,9.299501,1.8670867086708671,2202.2867635045363,0.1,0.0012490900192355,1.0227607083010295
124709665.0,120sec, ,,1.8667109285185943,2202.2923422280046,0.1,0.001277520192805,
1004.01,20sec,PC,9.1355,3.575457545754575,2229.567850862348,0.15,0.0003468157575932,1.189180297109172
238597883.0,120sec, ,,3.5733547702204964,2229.571439566446,0.15,0.0004124264656569,
1006.01,20sec,PC,9.2386,2.504800480048005,2229.984672336604,0.15,0.0018268203196732,1.0220122693279836
156115721.0,120sec, ,,2.504356038664173,2229.9852064846336,0.15,0.0018670327805637,
1007.01,20sec,PC,8.87759,6.998049804980497,2233.9361501216235,0.15,0.0022648451213731,0.9890815180871648
65212867.0,120sec, ,,6.998748434699456,2233.93381295105,0.15,0.0022401164508801,
1009.01,20sec,PC,8.4331,0.8919891989198919,2229.528612938197,0.33,0.0006609347751592,1.107960853620608
107782586.0,120sec, ,,0.9828107473213568,2229.271275739465,0.33,0.0007322898576729,
1010.01,20sec,PC,8.45086,0.6501650165016502,2229.183152237867,0.33,0.0005797352029696,1.9026547128937887
139853601.0,120sec, ,,0.6804220025962993,2229.566463318542,0.1,0.0011030359161605,
1011.01,20sec,PC,8.2388,2.4696969696969697,2231.134281029967,0.1,0.0001899884236701,1.052049233664688
114018671.0,120sec, ,,2.469710607424379,2231.135648736088,0.1,0.0001998771755273,
1012.01,20sec,PC,8.12718,0.8841884188418843,2229.523629025417,0.05,0.0013419469829977,1.0080298028814365
427508467.0,120sec, ,,0.8840119385475901,2229.524764334326,0.05,0.0013527225527485,
1015.01,20sec,PC,10.7069,1.3717371737173718,2230.413942947476,0.1,0.0009854328113058,1.030340619844763
155044736.0,120sec, ,,1.3715675798002844,2230.414058691424,0.1,0.0010153314536162,
